Title,Image URL,Price,Description,Grade,Specification,Link
太陽的痕跡3【含預購贈品】,https://cdn.kingstone.com.tw/book/images/product/20186/2018620153523/2018620153523b.jpg?v=91e7a,284,"★在太陽墜落的瞬間，影子才發現，
失去光，黑暗就沒了存在的意義

★大型連續副本迎來終戰，
兩人的感情也將步入完美結局……嗎？

★人氣BL韓漫臺灣KAKAO破萬點閱連載中！

★隨書好禮大方送：
第一重：隨書附錄「羅德島太陽神像」全景拉頁海報，可搭配預購贈品使用
第二重：隨書附贈精美留言卡
第三重：獨家收錄作者紙上訪談第三彈，暢談副本和角色的幕後花絮
第四重：特殊裝幀書封，封底上有完整的太陽神像，打開折口則會露出攻略前的古代遺跡，並有燙色作者印簽，值得珍藏！

★預購限量好禮：
拍立得角色透卡乙張（5.4cm*8.5cm）
PVC透卡上印有作者簽名，請搭配隨書附贈的背景圖拉頁海報使用，
可拿角色拍立得透卡任意放在場景的某個角落拍照，
跟著他們一起觀賞羅德島宏偉的太陽神像吧！
（數量有限，送完為止。印刷效果請以實物為準，謝謝）

史賢帶領著Chord連續攻克六處古代七大奇蹟的大型連續副本，直到要進行最後一個副本前事情突然發生了變化。

由於HN公會會長的死亡，史允江接任成為新任會長，並藉此換掉Chord優先進入副本的權利，轉而由HN公會一級特攻隊頂替，引起軒然大波。最後，在史賢的計謀下，史允江不僅從副本中慘敗，還遭指控對前任會長下毒而黯然下臺。

史允江憤而揭露他偷拍到鄭利善在龍仁的家中，竟出現理應在第二次大型副本時死亡的獵人，讓鄭利善一時被捲入風口浪尖上。過往的陰影及對朋友的愧疚再度籠罩著鄭利善，在絕望之際，他察覺自己竟不知不覺中愛上了史賢，對史賢的感情是唯一活下去的理由，偏偏他主動跟史賢告白時，亦清楚地發現史賢只是在利用這份感情，好把自己牢牢掌握在手中。

另一頭，史賢找獵人公會長談判，順利化解輿論危機，還順理成章地成為HN公會長，同時成功說服泰信公會一起攻略法羅斯島燈塔，最後甚至被鄭利善告白了……意氣風發的史賢沒注意到鄭利善的不對勁，在進入最終副本前夕，答應要幫他實現最後一個願望……

燈塔閃耀的火光灑在他們身上，就像是被光芒困住般，
史賢艱難地握著鄭利善的手，「待在我身邊，拜託。」

＝延伸閱讀＝
愛生活◆愛閱讀◆愛創作
更多精采活動與新書訊息請關注：
愛呦文創粉絲團：https://www.facebook.com/iyao.book/",普通級,21*14.8*1.5,https://www.kingstone.com.tw/basic/2018620153523/?lid=book_class2_bestseller_RA
太陽的痕跡3【特裝組】,https://cdn.kingstone.com.tw/book/images/product/20186/2018620153653/2018620153653b.jpg?v=d2a24,490,"★在太陽墜落的瞬間，影子才發現，
失去光，黑暗就沒了存在的意義

★大型連續副本迎來終戰，
兩人的感情也將步入完美結局……嗎？

★人氣BL韓漫臺灣KAKAO破萬點閱連載中！

★隨書好禮大方送：
第一重：隨書附錄「羅德島太陽神像」全景拉頁海報，可搭配預購贈品使用
第二重：隨書附贈精美留言卡
第三重：獨家收錄作者紙上訪談第三彈，暢談副本和角色的幕後花絮
第四重：特殊裝幀書封，封底上有完整的太陽神像，打開折口則會露出攻略前的古代遺跡，並有燙色作者印簽，值得珍藏！

★預購限量好禮：
拍立得角色透卡乙張（5.4cm*8.5cm）
PVC透卡上印有作者簽名，請搭配隨書附贈的背景圖拉頁海報使用，
可拿角色拍立得透卡任意放在場景的某個角落拍照，
跟著他們一起觀賞羅德島宏偉的太陽神像吧！
（數量有限，送完為止。印刷效果請以實物為準，謝謝）

太陽的痕跡3【特裝組】╱小說、場景自組立牌「羅德島太陽神像款」

= 商品簡介 =

壓克力自組立牌「羅德島太陽神像款」
10x13cm╱透明壓克力╱雙面同圖╱吊飾及立牌兩用╱保護膜請自行撕除

──我受傷了，利善。
看見史賢臉上的傷，鄭利善不自覺地擔憂伸出手，在緊張刺激的冒險中，逐漸加深對彼此的在乎與依戀！一起搜集五個副本場景，所有立牌都可以任意替換，讓兩人置身不同古代遺跡，守護彼此！
【備註】可自行加吊繩，變成壓克力吊飾使用（產品沒有附吊繩）

= 小說簡介 =

史賢帶領著Chord連續攻克六處古代七大奇蹟的大型連續副本，直到要進行最後一個副本前事情突然發生了變化。

由於HN公會會長的死亡，史允江接任成為新任會長，並藉此換掉Chord優先進入副本的權利，轉而由HN公會一級特攻隊頂替，引起軒然大波。最後，在史賢的計謀下，史允江不僅從副本中慘敗，還遭指控對前任會長下毒而黯然下臺。

史允江憤而揭露他偷拍到鄭利善在龍仁的家中，竟出現理應在第二次大型副本時死亡的獵人，讓鄭利善一時被捲入風口浪尖上。過往的陰影及對朋友的愧疚再度籠罩著鄭利善，在絕望之際，他察覺自己竟不知不覺中愛上了史賢，對史賢的感情是唯一活下去的理由，偏偏他主動跟史賢告白時，亦清楚地發現史賢只是在利用這份感情，好把自己牢牢掌握在手中。

另一頭，史賢找獵人公會長談判，順利化解輿論危機，還順理成章地成為HN公會長，同時成功說服泰信公會一起攻略法羅斯島燈塔，最後甚至被鄭利善告白了……意氣風發的史賢沒注意到鄭利善的不對勁，在進入最終副本前夕，答應要幫他實現最後一個願望……

燈塔閃耀的火光灑在他們身上，就像是被光芒困住般，
史賢艱難地握著鄭利善的手，「待在我身邊，拜託。」

＝延伸閱讀＝
愛生活◆愛閱讀◆愛創作
更多精采活動與新書訊息請關注：
愛呦文創粉絲團：https://www.facebook.com/iyao.book/",普通級,21*14.8*1.5,https://www.kingstone.com.tw/basic/2018620153653/?lid=book_class2_bestseller_RA
重生後我決定繼承家產2,https://cdn.kingstone.com.tw/book/images/product/20185/2018563642931/2018563642931b.jpg?v=95d2b,284,"★高冷淡漠的天才演員╳小劇場豐富的新晉總裁
★不可能！喜歡什麼的肯定是錯覺――
★首刷贈精美雙面明信片！
  宋昀然的霸總事業逐漸步上軌道，
同時，他意識到秦恪和自己一樣重生了。
  這很不妙――
身為讓一切重來的罪魁禍首，
宋昀然深怕秦恪找自己尋仇，拚命隱瞞重生身分，
卻不知不覺把自己給賣了？！
宋昀然想跪：「我錯了，哥哥！」
秦恪：「……」
  宋昀然答應和秦恪一起參加旅遊綜藝節目。
兩人的感情因此迅速升溫，
也意外成功讓秦恪叫自己「爸爸」。
但還沒來得及開心太久，
誰來告訴他，為什麼秦恪的嘴脣看起來那麼好親？
宋昀然：我的父愛，難道變質了嗎？！
 ",普通級,25開15*21cm,https://www.kingstone.com.tw/basic/2018563642931/?lid=book_class2_bestseller_RA
Omega Complex1(Omega心結),https://cdn.kingstone.com.tw/book/images/product/20186/2018620148086/2018620148086b.jpg?v=f1028,298,"商品特色
  ※✨韓國RIDIBOOKS 4.6顆星好評推薦✨知名作者Oneulbom老師首部小說，繁體中文版撩慾登場！
※執著企管男神攻╳敏感純情美男受：明明是優性Alpha卻討厭Omega？明明是劣性Omega卻偽裝成Beta？
※特邀人氣繪師Mae繪製全新封面──希望你生命中的每一刻，都有我陪伴在左右。
※隨書附贈課後時光限動霧透卡。
  人氣ABO韓漫原著小說深情上市！
五年後，絲毫沒有褪色的感情──
情愫暗藏的青梅竹馬，不敢表明的悸動……
    內容簡介
  自李潤雨有記憶以來，每一刻都有崔泰謙的身影。
泰謙剛分化成優性Alpha的那陣子，
經常遭到Omega騷擾，更因此厭惡Omega，
這時，潤雨成為了泰謙唯一的避風港。
「……幸好，我不是Omega。」
潤雨對此一直深感幸運，
因為自己是Beta，所以能待在泰謙身邊……
但也開始苦惱，作為「朋友」不該擁有這份心意。
然而，在那年冬天，他卻分化成了Omega！
在那之後，沒有潤雨陪伴的生活已經五年了，
泰謙積極參與校園活動，只期盼能遇見對方，
終於有一天，他們在酒館重逢了！
總是以「朋友」為藉口，表達著超乎朋友的關心，
深藏於心的情感，還能再被壓抑下去嗎？
 ",限制級,21*14.8*1.9,https://www.kingstone.com.tw/basic/2018620148086/?lid=book_class2_bestseller_RA
人類幼崽廢土苟活攻略3【含預購贈品】,https://cdn.kingstone.com.tw/book/images/product/20185/2018563633816/2018563633816b.jpg?v=d5f63,284,"【內文橫排】
封琛：「你在不安什麼？難道還擔心我把你扔了？」
顏布布：「我不擔心，我知道你不會扔掉我，我只是不想你身旁出現另外的人。我只要你和我，還有薩薩卡和比努努。」

★晉江好評不斷哨嚮文，竹馬不相離
#九年後 #末日危機 #中央城 #老友記 #埃哈特哨嚮學院

★晉江好評不斷哨嚮文，竹馬不相離
年輕的哨兵和嚮導即將展開全新冒險旅程~
顏布布：「我好像有點開始喜歡這個學院了。」
封琛臉上露出似笑非笑的神情，「因為可以穿軍裝？」
「對，因為可以穿軍裝，我可太喜歡看你穿軍裝了。」

★封琛：「你為什麼讓獅子叫薩薩卡？牠和比努努不是老在打架嗎？」
顏布布：「對啊，他們就老是在打架啊，所以獅子才得叫薩薩卡啊。」

★隨書好禮大方送：
第一重：封面有燙金作者手寫金句
第二重：隨書附錄人氣繪師透明Tomei精心繪製的彩頁海報
第三重：隨書附贈精美留言卡
第四重：特別收錄作者獨家訪談第二彈，暢談創作源起

★預購限量好禮：
PVC印簽透卡
尺寸：5.4 x 8.5cm
──我只要你和我，還有薩薩卡和比努努
角色透卡上有作者手寫金句，限量珍藏！
（數量有限，送完為止）

封琛帶著被喪屍咬到而陷入昏迷的顏布布，留在即將迎來極寒氣候的海雲城裡。
眼見顏布布身上的喪屍病毒漸漸擴散，又正巧來到他的七歲生日，封琛帶著他跑到廢棄的遊輪上，想實現布布的生日願望──兩人一起在船上看星星，雖然磅礡大雨讓天空什麼也看不見……
正當封琛抱著顏布布絕望痛哭時，忽然從角落裡出現一個全身漆黑的比努努。這世界上大概只有一個人會拿卡通角色來當自己的量子獸吧？
封琛滿腹疑惑地低頭往懷中看去，這一刻他連呼吸都忘記了……

從此，兩個小朋友和他們獨特的量子獸，守著被大雪籠罩、空無一人的海雲城，相互依偎生活了九年，直到陌生的旅人前來借宿，才打破了這寧靜。
封琛聽到中央城仍喪屍病毒肆虐，疫苗尚未問世，但當年他明明已親手將密碼盒交給林奮了，為何多年過去喪屍危機仍沒解除？
兩人決定動身前往中央城一探究竟……

「我們去中心城待多久？什麼時候回來？」顏布布遙遙望著海雲城問。
封琛沉默片刻後，道：「我也不知道。」
「這是我們兩個人的海，是我們兩個人的海雲城。」顏布布低聲道。
封琛：「我們兩個人的海一直都在這兒，海雲城也在這兒，只要想回來，隨時都可以。」

＝延伸閱讀＝
愛生活◆愛閱讀◆愛創作
更多精采活動與新書訊息請關注：
愛呦文創粉絲團：https://www.facebook.com/iyao.book/",普通級,21*14.6*1.8,https://www.kingstone.com.tw/basic/2018563633816/?lid=book_class2_bestseller_RA
未必故意的戀愛史上部2,https://cdn.kingstone.com.tw/book/images/product/20186/2018620150577/2018620150577b.jpg?v=019a4,277,"◎人氣韓耽續集登場～～韓國RIDIBOOKS評價高達4.7顆星！改編漫畫、廣播劇好評不斷👍
◎特邀知名繪師吉茶繪製精美封面！占有欲滿點，我的人只有我能使喚🚫
◎酒醉必備！臉紅心跳的經典場面(*´艸`*)
仁涉清醒時，出現在他眼前的竟是偶然歐爸的八塊腹肌？！
◎更多回憶揭曉，兩人過去究竟有何糾葛？
◎隨書附贈拍立得卡，對你的喜歡在一次次相視中加深💕
  韓國RIDIBOOKS評分4.7⭐浪漫愛情喜劇續集登場💞
腹黑偏執超人氣演員╳正直單純菜鳥經紀人
電視劇開拍！片場危機四伏？！
就算遭遇危險的人是你，我也會挺身保護。
崔仁涉待在李偶然的身邊已經滿一個月，
經紀人的工作也漸漸步入正軌，
與此同時，迎來了「崔仁涉」的生日，
金代表特別替他準備了一場驚喜生日派對，
但崔仁涉想到自己別有居心，覺得非常愧疚，
因此狠下心要求代表別再這麼做，冷著臉轉身就走。
崔仁涉強忍著眼眶中打轉的淚水跑到天臺，
想起獻上祝福的代表和同事，他真的很感動，
由衷希望有一天能跟大家好好相處、成為朋友，
然而，他是個騙子，根本沒資格接受大家的溫柔。
派對後，李偶然看著爛醉如泥的經紀人抱住他的腿、
流淚呼喚「珍妮」的樣子，讓他有些煩躁，
他拿起對方的手機準備打給那個女人，
卻意外發現仁涉的通話記錄只有工作相關的號碼，
查看著這不正常的手機，李偶然的嘴角逐漸上揚──
崔仁涉的人生，就好似只圍繞著他一個人打轉。",普通級,21*14.8*1.6,https://www.kingstone.com.tw/basic/2018620150577/?lid=book_class2_bestseller_RA
在水面行走3,https://cdn.kingstone.com.tw/book/images/product/20186/2018620151529/2018620151529b.jpg?v=8a422,316,"◎韓國RIDIBOOKS 4.7顆星好評推薦！還曾改編為同名網路漫畫、廣播劇，討論度依舊熱烈！
◎特邀人氣繪師Kanapy繪製全新封面，扶後頸，抓領帶，深情對望……無法抗拒的魅惑氛圍～～
◎接受性取向的轉變，讓「同志色情片演員」不再是能夠輕易拋下的經歷，或許還會越陷越深……
◎身分暴露之後，終於點燃深埋在兩人之間的未爆彈──龐大債務和色情片事業，甚至是……他們不曾設想過的問題？
◎隨書附贈沉醉不醒藏書票。

榮獲韓國2019年RIDI BL小說作者大賞！4.7顆星好評推薦☆
性慾旺盛事業型CEO╳不善言辭禁慾系直男
著迷、淪陷、纏綿，他們和普通人一樣相戀，
只要故事的起點，不是同志色情片……


「我們別讓彼此……心裡留下疙瘩吧。」
所有的錯誤，似乎都是因那部《轉移錄》而起，
偏離原始劇情的內容就像在昭告世界：
艾德‧塔爾伯特喜歡男人。
他愛麥昆，卻為了自尊心不願直面現實，
無論是在色情片裡興奮喘息的自己，
還是默認將兩人的感情暴露在鏡頭前的麥昆。
但是，紙永遠包不住火，
麥昆的另一重身分突然被曝光──
從未露面的傑出劇作家，竟是同志色情片製作人。
聳動的新聞標題吸引了無數觀眾，
艾德也徹底被攤開在大眾面前，供人審視……
這場意外，瞬間瓦解了艾德和麥昆謹慎維持的表面平和，
可對於總是選擇逃避的他們來說，
又何嘗不是一種轉機？",限制級,21*14.8*2,https://www.kingstone.com.tw/basic/2018620151529/?lid=book_class2_bestseller_RA
12月3完,https://cdn.kingstone.com.tw/book/images/product/20186/2018620146082/2018620146082b.jpg?v=c2456,298,"從趙勝君手中死裡逃生後，
逐漸傷癒的延宇看似回歸日常生活，
但被綁架的陰影始終在他的心裡揮之不去。
幸好還有金信一直陪伴在他的身邊，
「身體力行」表達滿腔愛意，給予他需要的力量。
就在一切看似雨過天晴之際，
跳出來阻止這段感情的人居然是──延宇的父親？
面對金信不睦的家庭、對延宇異常的執著，
讓延宇父親不禁擔心起兩人交往之後的未來。
所謂的「覺醒」，
桎梏的不僅僅是Omega，還有Alpha的身與心，
那是刻印入心、至死方休的愛戀。
更何況金信身上還有一個未曾對延宇坦白的「祕密」……
本書收錄番外〈3月〉──
攜手跨越許多難關，兩人終於迎來標記的那一天！
  本書特色
  ◎大勢ABO韓耽《12月》喜迎甜蜜最終回～～曾經他隻身面對世上的殘酷與不公，幸而冥冥中巧遇緣分，在那人執著的等待、深情的目光中重新拾回愛人的勇氣！
  ◎戰勝過往黑暗，即將幸福之際卻遭家長反對？沒關係，小情侶越愛越勇，既然不能常常見面，那就把握每次相處的機會，在彼此身上留下專屬味道！
  ◎特別收錄火辣辣的番外篇(*´∀`)~♥ 愛你寵你更想標記你～～面對覺醒Alpha的強勢進攻，延宇學長請保重身體嘿！
  ◎特邀人氣繪師日出的小太陽繪製封面──激情名場面再現！幽暗密室裡火辣交纏、動情擁吻，金信對延宇學長藏不住的渴望就快要衝破畫面啦！
  ◎小編偷偷說繁中版同名實體漫畫緊鑼密鼓準備中，敬請期待！（詳細消息請靜待粉專公布）
  ◎隨書附贈一觸即發限動霧透卡。
  高人氣ABO韓漫原作小說　幸福終局！
覺醒系極優Alpha年下攻╳溫柔堅毅Omega學長受
  本能的吸引，成就命運的羈絆，
只要那個人是你，這份愛永遠不會衰減也不會消失。
 ",限制級,21*14.8*1.7,https://www.kingstone.com.tw/basic/2018620146082/?lid=book_class2_bestseller_RA
偽裝學渣橫排 (下),https://cdn.kingstone.com.tw/book/images/product/20185/2018562681979/2018562681979b.jpg,323,"賀朝、謝俞，兩位明明智力超群、聰明好學卻拚命偽裝成讓師長頭疼的「問題兒童」，到底是為何原因？
兩個活寶機緣巧合成為同班同桌後，打打鬧鬧卻滋生出不一樣的感情，越了解就愛越多，
原來心底的徬徨無助卻有可以溫暖治癒的妙方。",普通級,25開15*21cm,https://www.kingstone.com.tw/basic/2018562681979/?lid=book_class2_bestseller_RA
海洋之戀（上下冊套書，泰國天后Mame同名耽美網劇原著小說，作者手繪印簽限量特典贈品版）,https://cdn.kingstone.com.tw/book/images/product/20186/2018680023989/2018680023989b.jpg?v=23185,630,"【春光‧南風系】
情不知所起，一往而深。尋著心之所向，乘著拂曉清風，流往剎那即永恆之境。
 ★首刷限量作者手繪印簽頁＋《海洋之戀》影視書衣＋劇照人物卡三張★
 ——✴✴✴——
風靡亞洲超夯泰劇《與愛同居》《不期而愛》《愛在空氣中》
耽美天后作者Mame 2024年艷夏熱戀力打！同名改編戲劇《海洋之戀》於愛奇藝國際版熱播！
《愛在空氣中》當紅男神Fort、Peat領銜主演
收錄比戲劇畫面更火辣精彩細節橋段！
——✴✴✴——
 Tongrak是當紅人氣暢銷作家，才華洋溢又俊美迷人，
他的作品寫盡了美好的愛情，深受廣大書迷喜愛，
然而真實的他卻是個遊戲人間的花蝴蝶。
 當他前往海島旅遊為新作尋找靈感時，
遇上了一個帥氣陽光又令人惱火的南方小島人Mahasamut。
 Mahasamut明明是受僱過來照顧Tongrak的人，卻總是處處跟他作對；
但不可否認的，Tongrak深深被那雙明亮大膽的深邃雙眸吸引，
也難以忽視那道總是燒灼在自己身上的熱燙視線。
 在不停的試探跟來回後，兩人終究乾柴烈火地發生了關係，
一夜過後，不相信愛情的Tongrak竟就此陷入了天羅地網之中……
 ❤TongrakMahasamut
❤必愛海洋
 ——✴✴✴——
本書特色：
天雷勾動地火一發不可收拾
熱帶海洋小島風情戀曲
直球無賴狗狗攻vs傲嬌美人貓兒受
雙向奔赴救贖彼此命定CP
 ★首刷限量作者手繪印簽頁＋《海洋之戀》影視書衣＋劇照人物卡三張★",限制級,21*14.8*4,https://www.kingstone.com.tw/basic/2018680023989/?lid=book_class2_bestseller_RA
全球高考印簽版套書(1-3集＋番外別冊＋A5文件夾),https://cdn.kingstone.com.tw/book/images/product/20185/2018562016504/2018562016504b.jpg,1019,"＝番外別冊簡介＝
何其有幸【獨家番外】／14.8x21cm／32P

游惑其實記不清自己跟秦究之間，
那種說不清、道不明的曖昧究竟起始於哪一天了……

秦究說：「我在想，這個新設立的規則一直有效麼？」
「什麼意思？」
「意思就是如果我再連續違規三次，你是不是還得陪我考一場？或者說，我每違規三次，是不是都能等到你來監考？」
游惑轉過頭去。
秦究盯著游惑的眼睛看了幾秒，又笑起來說：「開個玩笑，別這麼瞪我，那換個認真的問題，下回還能跟你借菸借火麼？」

後來，考生秦究被限制重考離開系統，
再後來，系統名單上多了一個考官Gin，
但已經很久很久沒人來找他借火了……

＝小說內容簡介＝
游惑的眼睛和記憶都出了些問題，從國外養病回國後，和酒鬼舅舅老于及學渣表弟于聞意外進入一棟雪山中的獵人小屋，被通知要進行物理考試。游惑放眼望去，同場考生淨是老弱病孕孩，真是五毒俱全，開局就是送命題，游惑卻要想辦法帶著所有人躺贏，結果不斷違規，要由監考官001秦究對他進行貼身監考……

第二場外語考試，隊友中有精通多國語言的外國人，以為穩贏了，結果考試題目是吉普賽語，甚至還牽扯到巫毒娃娃的詛咒。在恐怖懸疑的氣氛中，秦究遇見似乎認識自己的考場NPC。最後因嚴重違規，秦究成了和游惑綁定的考生，跟他一起參加下一場歷史考試，要在荒島上幫助擱淺的荷蘭船長一行人順利返航，島上有神出鬼沒的吃人海怪，還有躲在冰層下的神祕白臉怪，同時系統推出了新的考試制度。

但強強聯手沒在怕，勢必要把考場攪得天翻地覆……

本書特色

【特裝套書】
內含1-3集小說+番外別冊+A5文件夾（多款隨機）

★印簽版為每冊皆附雙面燙金印簽書衣
配合故事情節採雙面設計，考場懸疑風格；正反兩面皆印有燙金或燙銀的作者簽名

★附作者為繁體版全新加寫的番外別冊
內附8000字獨家番外，及5頁空白筆記頁，可記錄閱讀心得或摘錄書中金句

★每冊隨書好禮大方送：
第一重：隨書贈送精美留言卡
第二重：隨書加碼送「好學生獎勵卡」藏書票（3張，須自行裁切）
第三重：作者獨冢專訪，創作花絮大公開",普通級,21*14.8,https://www.kingstone.com.tw/basic/2018562016504/?lid=book_class2_bestseller_RA
紙片戀人(上)(限),https://cdn.kingstone.com.tw/book/images/product/20185/2018563654392/2018563654392b.jpg?v=2baf0,332,"男頻大神作者栗說星的手機裡憑空多出一款戀愛養成APP。
遊戲規則要求他與裡面的虛擬人物「宿鳴謙」互動，增加他的戀愛值從而解鎖更多功能。
栗說星很快經歷了氪金玩家的人間真實。

階段一：「垃圾遊戲，休想騙氪。」
階段二：「一塊錢禮包買不了吃虧買不了上當。」
階段三：「再氪一次就收手。」
階段四：「別攔著我，為了崽，我願意氪盡全世界！」
……
階段N：「每多一萬票，加更一萬字；月票可以輸，燃王必須贏！」",限制級,25開15*21cm,https://www.kingstone.com.tw/basic/2018563654392/?lid=book_class2_bestseller_RA
